0,21.1339,0,,Material_rho,Material_cp,Material_lmbd,Length,x0,RobinAlpha
90,21.12365796,0,,7850,490,13.5,0.01,0.00445,13.5
180,21.11395775,0,,,,,,,
270,21.1041785,0,,,,,,,
360,21.09560145,0,,,,,,,
450,21.06006424,0,,,,,,,
540,22.1238385,0,,,,,,,
630,25.09206366,0,,,,,,,
720,28.8149758,0,,,,,,,
810,32.43786344,0,,,,,,,
900,35.90959503,0,,,,,,,
990,37.68212043,0,,,,,,,
1080,37.10377585,0,,,,,,,
1170,35.661524,0,,,,,,,
1260,34.03650929,0,,,,,,,
1350,32.4195127,0,,,,,,,
1440,30.89185755,0,,,,,,,
1530,29.4602699,0,,,,,,,
1620,28.14145718,0,,,,,,,
1710,26.96961368,0,,,,,,,
1800,25.9352142,0,,,,,,,
1890,25.01405971,0,,,,,,,
1980,24.20764445,0,,,,,,,
2070,23.50733045,0,,,,,,,
2160,22.90016583,0,,,,,,,
2250,22.37111679,0,,,,,,,
2340,21.91159662,0,,,,,,,
2430,21.51458559,0,,,,,,,
2520,21.17501158,0,,,,,,,
2610,20.88095313,0,,,,,,,
2700,20.62668443,0,,,,,,,
2790,20.41017192,0,,,,,,,
2880,21.73746133,0,,,,,,,
2970,25.0930482,0,,,,,,,
3060,28.92558192,0,,,,,,,
3150,32.65554532,0,,,,,,,
3240,34.56308888,0,,,,,,,
3330,34.13487952,0,,,,,,,
3420,32.95758751,0,,,,,,,
3510,31.58874178,0,,,,,,,
3600,30.19370571,0,,,,,,,
3690,28.87756178,0,,,,,,,
3780,27.68313106,0,,,,,,,
3870,26.60719621,0,,,,,,,
3960,25.64931273,0,,,,,,,
4050,24.79471656,0,,,,,,,
4140,24.04486617,0,,,,,,,
4230,23.38764401,0,,,,,,,
4320,22.81544923,0,,,,,,,
4410,22.32449858,0,,,,,,,
4500,21.89493516,0,,,,,,,
4590,21.52077645,0,,,,,,,
4680,21.34201807,0,,,,,,,
4770,21.33440472,0,,,,,,,
4860,21.32615963,0,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time [s],Temperature [C],,,,,,,,
