Time [s],Heat flux [W]
0.0,49.99999999999999
1.0,59.99999999999999
2.0,719.9999999999999
3.0,1753.333333333333
4.0,3206.6666666666665
5.0,4526.666666666666
6.0,5633.333333333333
7.0,6666.666666666666
8.0,7753.333333333333
9.0,8720.0
10.0,9533.333333333332
11.0,10013.333333333332
12.0,10453.333333333332
13.0,10700.0
14.0,10720.0
15.0,10740.0
16.0,10760.0
17.0,10780.0
18.0,10800.0
19.0,10820.0
20.0,10840.0
21.0,10860.0
22.0,10880.0
23.0,11060.0
24.0,11240.0
25.0,11420.0
26.0,11440.0
27.0,11460.0
28.0,11480.0
29.0,11500.0
30.0,11520.0
31.0,11540.0
32.0,11633.333333333332
33.0,11840.0
34.0,12206.666666666666
35.0,12873.333333333332
36.0,13426.666666666666
37.0,13820.0
38.0,13940.0
39.0,14079.999999999998
40.0,14506.666666666666
41.0,15486.666666666666
42.0,16446.666666666664
43.0,17266.666666666664
44.0,18273.333333333332
45.0,19280.0
46.0,20586.666666666664
47.0,21986.666666666664
48.0,23386.666666666664
49.0,24340.0
50.0,25126.666666666664
51.0,25913.333333333332
52.0,26700.0
53.0,27093.33333333333
54.0,27486.666666666664
55.0,27880.0
56.0,28500.0
57.0,29119.999999999996
58.0,29740.0
59.0,30126.666666666664
60.0,30513.333333333332
61.0,30900.0
62.0,30919.999999999996
63.0,30940.0
64.0,30838.666666666664
65.0,30238.0
66.0,28671.333333333332
67.0,27221.333333333332
68.0,26270.666666666664
69.0,26286.0
70.0,26305.999999999996
71.0,27139.333333333332
72.0,28079.33333333333
73.0,29459.333333333332
74.0,30979.333333333332
75.0,32392.666666666664
76.0,33366.0
77.0,33932.666666666664
78.0,34499.33333333333
79.0,35092.666666666664
80.0,36019.33333333333
81.0,36946.0
82.0,37846.0
83.0,39946.0
84.0,42646.0
85.0,47432.666666666664
86.0,53526.0
87.0,59172.666666666664
88.0,63819.33333333333
89.0,67346.0
90.0,70719.33333333333
91.0,73006.0
92.0,73206.0
93.0,73406.0
94.0,73606.0
95.0,73626.0
96.0,73333.33333333333
97.0,71444.66666666666
98.0,69551.33333333333
99.0,65987.33333333333
100.0,63048.666666666664
101.0,60109.99999999999
102.0,58020.66666666666
103.0,56262.666666666664
104.0,54509.33333333333
105.0,53885.33333333333
106.0,53900.666666666664
107.0,55535.99999999999
108.0,57956.0
109.0,62589.33333333333
110.0,70189.33333333333
111.0,77862.66666666666
112.0,86562.66666666666
113.0,96336.0
114.0,105396.0
115.0,113529.33333333331
116.0,121069.33333333333
117.0,128469.33333333331
118.0,133996.0
119.0,140276.0
120.0,146556.0
121.0,153956.0
122.0,162309.3333333333
123.0,170662.66666666666
124.0,178229.3333333333
125.0,187002.66666666666
126.0,195776.0
127.0,206416.0
128.0,217995.99999999997
129.0,229576.0
130.0,238682.66666666666
131.0,247036.0
132.0,255165.3333333333
133.0,263128.0
134.0,269890.6666666666
135.0,275402.6666666666
136.0,278488.0
137.0,274860.0
138.0,268950.0
139.0,262097.3333333333
140.0,254991.3333333333
141.0,242808.0
142.0,225645.3333333333
143.0,206429.3333333333
144.0,188697.3333333333
145.0,172598.66666666666
146.0,148692.66666666666
147.0,119980.0
148.0,89494.0
149.0,58737.33333333333
150.0,29095.999999999996
151.0,-9603.33333333333
152.0,-41494.0
153.0,-62389.99999999999
154.0,-76897.33333333333
155.0,-95436.66666666666
156.0,-110996.0
157.0,-107070.66666666666
158.0,-94403.99999999999
159.0,-83464.0
160.0,-82778.0
161.0,-91155.33333333333
162.0,-101504.66666666666
163.0,-112535.33333333333
164.0,-120098.66666666666
165.0,-126896.66666666666
166.0,-129966.0
167.0,-128466.0
168.0,-122385.99999999999
169.0,-115452.66666666666
170.0,-108879.33333333331
171.0,-106859.33333333333
172.0,-106026.0
173.0,-105192.66666666666
174.0,-103419.33333333333
175.0,-101546.0
176.0,-99672.66666666666
177.0,-98305.99999999999
178.0,-96279.33333333333
179.0,-94252.66666666666
180.0,-90859.33333333333
181.0,-88179.33333333333
182.0,-85499.33333333333
183.0,-84459.33333333333
184.0,-82952.66666666666
185.0,-81446.0
186.0,-79039.33333333333
187.0,-76886.0
188.0,-74732.66666666666
189.0,-72972.66666666666
190.0,-71152.66666666666
191.0,-69332.66666666666
192.0,-66846.0
193.0,-64726.0
194.0,-62606.0
195.0,-61139.33333333333
196.0,-59459.33333333333
197.0,-57779.33333333333
198.0,-55879.33333333333
199.0,-54232.66666666666
200.0,-52585.99999999999
201.0,-51119.33333333333
202.0,-49886.0
203.0,-48660.73333333333
204.0,-48188.799999999996
205.0,-48190.2
206.0,-48190.2
